country_code,company_code,account_number,vendor_name,vendor_group,vendor_country_code,resident_foreigner_indicator,document_number,document_header_text,financial_line_number,item_text,document_date,posting_date,entry_date,fiscal_year,fiscal_period,document_type,document_status_indicator,reference_number,reference_key,assignment_number,transaction_code,posting_key,clearing_document,clearing_date,clearing_fiscal_year,invoice_number,invoice_line_number,invoice_fiscal_year,currency_key,amount_document_currency,local_currency,amount_local_currency,second_local_currency,second_local_currency_amount,debit_credit_indicator,general_ledger_account,general_ledger_account_name,special_gl_transaction_type,special_gl_indicator,sales_tax_code,baseline_date,due_date,real_difference,payment_terms_code,payment_terms_description,payment_terms_days,payment_terms_date_indicator,company_payment_terms_code,company_payment_terms_description,company_payment_terms_days,company_payment_terms_date_indicator,cash_discount_days_1,cash_discount_percentage_1,cash_discount_days_2,cash_discount_percentage_2,net_payment_terms_period,eligible_cash_discount_document_amount,cash_discount_local_amount,cash_discount_document_amount,payment_method,payment_date,payment_on_time,payment_block,last_dunned_date,partner_bank_type,settlement_reference_date,third_currency_penalty_amount,general_ledger_updating_amount,general_ledger_update_currency,purchasing_document_number,purchasing_line_number,username,exchange_rate,vendor_blocking_request_1,vendor_blocking_request_2,vendor_blocking_request_3,id_for_account_details,short_key_for_a_house_bank,__partition_column,__insert_gmt_ts,__update_gmt_ts
DO,DO02,0000336523,REPUESTOS Y MATERIALES DEL CARIBE,VOTH,DO,Resident,5100010976,B0100003401,1,REPARACION VEHICULO PESADO,2025-12-20,2025-12-20,2025-12-20,2025,12,RE,,00003401,51056176012025,4500041990,MIRO,31,,,0000,,0,0,DOP,-146261.000000,DOP,-146261.000000,USD,-2327.010000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2026-01-01,2026-05-01,133,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,120,0.000,0,0.000,0,146261.000000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,146261.000000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000336551,GRUPO ALASKA SA,VOTH,DO,Resident,5100002383,E310000033424,1,AGUA POTABLE 5 GLS,2025-10-15,2025-10-25,2025-10-25,2025,10,RE,,F0300004084,51056057042025,4500001793,MIRO,31,2000117309,2026-03-02,2026,,0,0,DOP,-3660.000000,DOP,-3660.000000,USD,-56.910000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-11-01,2026-03-01,139,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,120,0.000,0,0.000,0,3660.000000,0.000000,0.000000,,2026-03-02,OUT,,,,,0.000000,3660.000000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000337088,Cafe tropical MAZUR SRL,VOTH,DO,Resident,5100002006,B0100022644,1,DESAYUNO,2025-09-27,2025-10-15,2025-10-15,2025,10,RE,,055054,51056042282025,4500002698,MIRO,31,2000144468,2025-12-01,2025,,0,0,DOP,-8429.190000,DOP,-8429.190000,USD,-132.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-11-01,2025-12-01,66,P030,FD - Fixed date 1 - (30days),030,Fecha Contabilizacion,P060,FD - Fixed date 1 - (60days),060,Fecha Contabilizacion,30,0.000,0,0.000,0,8833.430000,0.000000,0.000000,4,2025-12-01,OUT,,,0001,,0.000000,8429.190000,DOP,,00000,SAP_WFRT,1.00000,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000337295,Multi Ventas y Servicios Republica,VOTH,DO,Resident,5100009558,E310000000957,1,REPARACION GENERAL 81-3765,2025-12-03,2025-12-10,2025-12-10,2025,12,RE,,C300001982,51056153692025,4500037633,MIRO,31,,,0000,,0,0,DOP,-220725.020000,DOP,-220725.020000,USD,-3423.440000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2026-01-01,2026-05-01,150,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,120,0.000,0,0.000,0,220725.020000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,220725.020000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000336934,Super Industrial S A,VOTH,DO,Resident,5100006633,E310000000152,1,revestir  15497,2025-11-12,2025-11-24,2025-11-24,2025,11,RE,,50035801,51056114922025,4500030426,MIRO,31,2000056331,2026-02-02,2026,,0,0,DOP,-1452.340000,DOP,-1452.340000,USD,-23.080000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RL,2025-12-03,2026-02-01,83,P060,FD - Fixed date 1 - (60days),060,Fecha Contabilizacion,P060,FD - Fixed date 1 - (60days),060,Fecha Contabilizacion,60,0.000,0,0.000,0,1452.340000,0.000000,0.000000,,2026-02-02,OUT,,,,,0.000000,1452.340000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000337359,Zona Franca Multimodal Caucedo S A,VOTH,DO,Resident,5100000829,E310000278503,1,ALMACENAJE CONTENEDOR 40',2025-09-11,2025-10-06,2025-10-06,2025,10,RE,,T-CMS-02641173,51056027742025,4500009728,MIRO,31,2000092091,2025-10-27,2025,,0,0,DOP,-24344.940000,DOP,-24344.940000,USD,-386.600000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-09-11,2025-10-26,47,K045,FD - Fixed date 4-14 - (45days),045,Fecha Documento,K045,FD - Fixed date 4-14 - (45days),045,Fecha Documento,45,0.000,0,0.000,0,24344.940000,0.000000,0.000000,4,2025-10-27,OUT,,,0001,,0.000000,24344.940000,DOP,,00000,SAP_WFRT,1.00000,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0012686641,Quimocaribe S A,VSUP,DO,Resident,5100001139,E310000024035,1,FUMIGACION CAMIONES SAN MARTIN AGOSTO,2025-10-06,2025-10-07,2025-10-07,2025,10,RE,,FAP00011847,51056028932025,4500002361,MIRO,31,,,0000,,0,0,USD,-94.400000,DOP,-5945.150000,USD,-94.400000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-10-28,2026-04-01,178,P155,FD - Fixed date 1 - (155days),155,Fecha Contabilizacion,C155,FD - Fixed date 1 - (155days),155,Fecha Documento,155,0.000,0,0.000,0,94.400000,0.000000,0.000000,,2026-04-01,OUT,,,,,0.000000,94.400000,USD,,00000,SAP_WFRT,62.97820,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000336551,GRUPO ALASKA SA,VOTH,DO,Resident,5100006048,E310000066322,1,AGUA 3880,2025-09-29,2025-11-18,2025-11-18,2025,11,RE,,F0780004106,51056106262025,4500002047,MIRO,31,,,0000,,0,0,DOP,-6000.000000,DOP,-6000.000000,USD,-93.600000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-12-02,2026-04-01,185,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,120,0.000,0,0.000,0,6000.000000,0.000000,0.000000,,2026-04-01,OUT,,,,,0.000000,6000.000000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000337062,Gestiones Sanitarias Ambientales S,VOTH,DO,Resident,5100011998,E310000000084,1,Analisis Externos,2025-12-12,2025-12-31,2025-12-31,2025,12,RE,,97,51056193752025,4500033299,MIRO,31,2000117382,2026-03-02,2026,,0,0,DOP,-86296.640000,DOP,-86296.640000,USD,-1363.480000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-12-21,2026-03-01,81,P070,FD - Fixed date 1 - (70days),070,Fecha Contabilizacion,P070,FD - Fixed date 1 - (70days),070,Fecha Contabilizacion,70,0.000,0,0.000,0,90435.200000,0.000000,0.000000,,2026-03-02,OUT,,,,,0.000000,86296.640000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000336523,REPUESTOS Y MATERIALES DEL CARIBE,VOTH,DO,Resident,5100006010,B0100003204,1,REPARACION VEHICULO PESADO 14017,2025-11-12,2025-11-14,2025-11-14,2025,11,RE,,00003204,51056101392025,4500030442,MIRO,31,,,0000,,0,0,DOP,-195844.600000,DOP,-195844.600000,USD,-3039.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-12-02,2026-04-01,141,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,120,0.000,0,0.000,0,195844.600000,0.000000,0.000000,,2026-04-01,OUT,,,,,0.000000,195844.600000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
